Name,Source,Size,Type,Alignment,Habitat,Main Habitat,Other Habitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR Mod,INT Mod,DEX Mod,WIS Mod,CON Mod,CHA Mod,STR Save,INT Save,DEX Save,WIS Save,CON Save,CHA Save,Proficient,Expertise,Vulnerabilities,Resistances,Immunities Conditions,Immunities Damage,Blindsight,Darkvision,Truesight,Tremorsense,Passive Perception,Languages,CR,XP.,PB,Traits,# of Legendary Resistance,# of Atk,Atk 1 Type,Atk 1 Mod,Atk 1 Range,Atk 1 Range Short,Atk 1 Range Long,Atk 1 Dam.,Atk 1 Damage Type,Atk 2 Type,Atk 2 Mod,Atk 2 Range,Atk 2 Range short,Atk 2 Range Long,Atk 2 Dam.,Atk 2 Damage Type,Atk 3 Type,Atk 3 Mod,Atk 3 Range,Atk 3 Range short,Atk 3 Range Long,Atk 3 Dam.,Atk 3 Damage Type,Atk 4 Type,Atk 4 Mod,Atk 4 Range,Atk 4 Range short,Atk 4 Range Long,Atk 4 Dam.,Atk 4 Damage Type,Save DC,Saving Throw,Action Notes,Ability,Spell Save DC,Spell Saving Throws,Spell Attack,At Will,3/Day,2/Day,1/Day,Bonus Action,Reaction,Amount,Legendary Action Save DC,Legendary Action Saving Throw,Legendary Actions.,Lair,xp,Legendary Resistance,Legendary Actions,Lair Save DC,Lair Saving Throws,Other
Harvester Devil, Astarion's Book of Hungers,Medium,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Implements,14,65,3,30,,,,,,1,2,3,1,2,4,1,2,3,3,4,4,"Perception, Stealth",Persuasion,,Cold,"Charmed, Poisoned","Fire, Poison",,120,,,13,"Common, Infernal, Telepathy",3,700,2,"Diabolic Ward, Diabolic Restoration, Magic Resistance",,2,Melee,5,5,,,13,"Slashing, Fire",Ranged,5,120,120,,13,Psychic,,,,,,,,,,,,,,,14,Charisma,"Atk 2 on hit no opportunity atk, Compelling Spell a creature within 30ft on fail charmed and stunned",,,,,,,,,,,,,,,,,,,,,
Haunting Revenant,2024 Monster Manual,Gargantuan,Undead,Neutral,"Forest, Swamp, Urban","Forest, Swamp, Urban",,Any,20,203,5,30,,,,,,5,3,1,4,4,5,5,3,1,8,8,5,,,,"Necrotic, Psychic","Charmed, Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Restrained, Unconscious",Poison,,,60,,14,Common plus two other languages,10,"5,900",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawk,2024 Monster Manual,Tiny,Beast,Unaligned,"Arctic, Coastal, Forest, Grassland, Hill, Mountain","Arctic, Coastal, Forest, Grassland, Hill, Mountain",,None,13,1,3,10,,,60,,,-3,-4,3,2,-1,-2,-3,-4,3,2,-1,-2,,Perception,,,,,,,,,16,None,0,10,2,,,1,Melee,5,5,,,1,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hell Hound,"2024 Monster Manual,  Stranger Things: Welcome to the Hellfire Club",Medium,Fiend,Lawful Evil,"Mountain, Planar (Lower Planes), Underdark","Mountain, Planar, Underdark",Lower Planes,None,15,58,1,50,,,,,,3,-2,1,1,2,-2,3,-2,1,1,2,-2,,Perception,,,,,,60,,,15,Understands Infernal,3,700,2,Pack Tactics,,2,Melee,5,5,,,10,"Piercing, Fire",,,,,,,,,,,,,,,,,,,,,,12,Dexterity,Fire Breath recharges on 5-6 15ft coone on fail 17 fire damage,,,,,,,,,,,,,,,,,,,,,
Helmed Horror,2024 Monster Manual,Medium,Construct,Neutral,Any,Any,,Armaments,20,67,3,30,,,30,30,,4,0,1,0,3,0,4,0,1,0,3,0,,Perception,,,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned, Stunned","Necrotic, Poison",60,,,,14,"Understands Common, Another language",4,"1,100",2,"Magic Resistance, Spell Immunity",,2,Melee,6,5,,,13,"Slashing, Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hezrou,2024 Monster Manual,Large,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,Any,18,157,6,30,,,,,,4,-3,3,1,5,1,7,-3,3,4,8,1,,,,"Cold, Fire, Lightning",Poisoned,Poison,,120,,,11,"Abyssal, Telepathy",8,"3,900",3,"Demonic Restoration, Magic Resistance, Stench",,3,Melee,7,5,,,15,"Slashing, Poison",,,,,,,,,,,,,,,,,,,,,,16,Constitution,,,,,,,,,,Jump 30ft only using 10ft,,,,,,,,,,,,
Hill Giant,2024 Monster Manual,Huge,Giant,Chaotic Evil,Hill,Hill,,Armaments,13,105,2,40,,,,,,5,-3,-1,-1,4,-2,5,-3,-1,-1,4,-2,Perception,,,,,,,,,,12,Giant,5,"1,800",3,,,2,Melee,8,10,,,18,Bludgeoning,Ranged,8,60/240,60,240,16,Bludgeoning,,,,,,,,,,,,,,,,,"Atk 1 on hit prone, Atk 2 on hit poisoned",,,,,,,,,,,,,,,,,,,,,
Hippogriff,2024 Monster Manual,Large,Monstrosity,Unaligned,"Grassland, Hill, Mountain","Grassland, Hill, Mountain",,None,11,26,1,40,,,60,,,3,-4,1,1,1,-1,3,-4,1,1,1,-1,,Perception,,,,,,,,,15,None,1,200,2,Flyby,,2,Melee,5,5,,,7,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippopotamus,2024 Monster Manual,Large,Beast,Unaligned,"Forest, Grassland, Swamp","Forest, Grassland, Swamp",,None,14,82,-2,30,,,,,30,5,-4,-2,1,2,-3,7,-4,-2,1,2,-3,Perception,,,,,,,,,,13,None,4,"1,100",2,Hold Breath,,2,Melee,7,5,,,16,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobgoblin Captain,2024 Monster Manual,Medium,Fey (Goblinoid),Lawful Evil,"Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Desert, Forest, Grassland, Hill, Mountain, Planar, Underdark",Acheron,"Armaments, Individual",17,58,4,30,,,,,,2,1,2,0,2,1,2,1,2,0,2,1,,,,,,,,60,,,10,"Common, Goblin",3,700,2,Aura of Authority,,2,Melee,4,5,,,12,"Slashing, Poison",Ranged,4,150/600,150,600,11,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobgoblin Warlord,2024 Monster Manual,Medium,Fey (Goblinoid),Lawful Evil,"Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Desert, Forest, Grassland, Hill, Mountain, Planar, Underdark",Acheron,"Armaments, Individual",20,112,5,30,,,,,,3,2,2,0,3,2,3,5,5,3,3,5,,,,,,,,60,,,10,"Common, Goblin",6,"2,300",3,Aura of Authority,,3,Melee,6,5,,,11,Piercing,Ranged,6,30/120,30,120,11,Piercing,Melee,6,5,,,12,Slashing,,,,,,,,,,Akt 1 and Akt 2 reduces speed by 10ft,,,,,,,,,,Parry hit by melee +3 AC,,,,,,,,,,,
Hobgoblin Warrior,2024 Monster Manual,Medium,Fey (Goblinoid),Lawful Evil,"Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Desert, Forest, Grassland, Hill, Mountain, Planar, Underdark",Acheron,"Armaments, Individual",18,11,3,30,,,,,,1,0,1,0,1,-1,1,0,1,0,1,-1,,,,,,,,60,,,10,"Common, Goblin",1/2,100,2,Pack Tactics,,1,Melee,3,5,,,12,Slashing,Ranged,3,150/600,150,600,12,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homunculus,2024 Monster Manual,Tiny,Construct,Neutral,Any,Any,,None,13,4,2,20,,,40,,,-3,0,2,0,2,-2,-3,0,2,2,2,0,,,,,"Charmed, Poisoned",Poison,,60,,,10,"Understands Common, Another language",0,10,2,Telepathic Bond,,1,Melee,4,5,,,1,Piercing,,,,,,,,,,,,,,,,,,,,,,12,"Constitution, Dexterity",Akt 1 on hit and fail poisoned fail by 5 or more and unconscious,,,,,,,,,,,,,,,,,,,,,
Homunculus Servant,Eberrron: Forge of the Artificer,Tiny,Construct,Neutral,None,None,,None,13,5+5*the level,Same as caster,20,,,30,,,-3,0,2,0,1,-2,-3,0,2,0,1,-2,,,,,"Exhaustion, Poisoned",Poison,,60,,,10,Telepathy,None,0,Same as spellcaster,"Evasion, Magic bond add the spell's level to checks and saves",,1,Melee,Casters attack mod.,5,,,3,Force,Ranged,Casters attack mod.,30,30,,3,Force,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel Magic deliver a touch spell through it,,,,,,,,,,,
Hook Horror,2024 Monster Manual,Large,Monstrosity,Neutral,Underdark,Underdark,,None,15,75,0,30,,30,,,,4,-2,0,1,2,-2,4,-2,0,1,4,-2,,Perception,,,,,60,120,,,15,Hook Horror,3,700,2,,,2,Melee,6,10,,,11,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Devil,2024 Monster Manual,Large,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Relics,18,199,7,30,,,60,,,6,1,3,3,5,4,10,1,7,7,5,8,,,,Cold,Poisoned,"Fire, Poison",,150,,,13,"Infernal, Telepathy",11,"7,200",4,"Diabolical Restoration, Magic Resistance",,3,Melee,10,10,,,24,"Piercing, Fire",Ranged,8,150,150,,26,Fire damage,,,,,,,,,,,,,,,17,Dexterity,Within 10ft on fail 10 necrotic damage 10 damage every round,,,,,,,,,,,,,,,,,,,,,
Hunter Shark,2024 Monster Manual,Large,Beast,Unaligned,Underwater,Underwater,,None,12,45,2,5,,,,,40,4,-5,2,0,2,-3,4,-5,2,0,2,-3,Perception,,,,,,60,,,,12,None,2,450,2,Water Breathing,,1,Melee,6,5,,,14,Piercing,,,,,,,,,,,,,,,,,,,,,,,,Akt. has adv. if the target is already hurt,,,,,,,,,,,,,,,,,,,,,
Hydra,2024 Monster Manual,Huge,Monstrosity,Unaligned,"Coastal, Swamp","Coastal, Swamp",,Any,15,184,4,40,,,,,40,5,-4,1,0,5,-2,5,-4,1,0,5,-2,,Perception,,,"Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious",,,60,,,16,None,8,"3,900",3,"Hold Breath, Multiple Heads, Creative Heads",,1,Melee,8,10,,,10,Piercing,,,,,,,,,,,,,,,,,,,,,,,,Atk 1 it gets another attack for every head,,,,,,,,,,,,,,,,,,,,,
Hyena,2024 Monster Manual,Medium,Beast,Unaligned,"Desert, Forest, Grassland, Hill","Desert, Forest, Grassland, Hill",,None,11,5,1,50,,,,,,0,-4,1,1,1,-3,0,-4,1,1,1,-3,Perception,,,,,,,60,,,13,None,0,10,2,Pack Tactics,,1,Melee,2,5,,,3,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Devil,2024 Monster Manual,Large,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Arcana,18,228,7,40,,,,,,5,4,2,2,4,4,5,4,7,7,9,9,"Insight, Perception, Persuasion",,,,Poisoned,"Cold, Fire, Poison",120,,,,17,"Infernal, Telepathy",14,"11,500",5,"Diabolical Restoration, Magic Resistance",,3,Melee,10,5,,,24,"Piercing, Cold",Ranged,10,30/120,30,120,24,"Piercing, Cold",Melee,10,10,,,33,"Bludgeoning, Cold",,,,,,,,17,Dexterity,"Akt 1 and Akt 2 on hit target can't take a bonus action or reaction speed -10 and only move or take an action, Ice Wall recharge on 6 cast Wall of Ice",,,,,,,,,,,,,,,,,,,,,
Ice Mephit,2024 Monster Manual,Small,Elemental,Neutral Evil,"Arctic, Planar (Elemental Planes)","Arctic, Planar",Elemental Planes,None,11,21,1,30,,,30,,,-2,-1,1,0,0,1,-2,-1,1,0,0,1,"Perception, Stealth",,Fire,,"Exhaustion, Poisoned","Cold, Poison",,60,,,12,"Primordial (Aquan, Auran)",1/2,100,2,Death Burst,,1,Melee,3,5,,,5,"Slashing, Cold",,,,,,,,,,,,,,,,,,,,,,10,Constitution,"Frost Breath recharges on 6 15ft cone on fail 7 cold damage, Fod Cloud 1/day fod cloud",,,,,,,,,,,,,,,,,,,,,
Imp,2024 Monster Manual,Tiny,Fiend (Devil),Lawful Evil,Any,Any,,None,13,21,3,20,,,40,,,-2,0,3,1,1,2,-2,0,3,1,1,2,"Deception, Insight, Stealth",,,Cold,Poisoned,"Fire, Poison",,120,,,11,"Common, Infernal",1,200,2,"Devil's Sight, Magic Resistance",,1,Melee,5,5,,,13,"Piercing,Poison",,,,,,,,,,,,,,,,,,,,,,,,"Can go invisible, Can shapeshift into a rat raven or spider",,,,,,,,,,,,,,,,,,,,,
Imp Trickster, Stranger Things: Welcome to the Hellfire Club,Tiny,Fiend (Devil),Lawful Evil,None,None,,None,13,21,3,20,,,40,,,-2,0,3,1,1,2,-2,0,3,1,1,2,"Deception, Insight, Stealth",,,Cold,Poisoned,"Fire, Poison",,120,,,11,"Common, Infernal",1,200,2,"Devil's Sight, Magic Resistance",,1,Melee,5,5,,,13,"Piercing,Poison",,,,,,,,,,,,,,,,,,,,,,,,"Can go invisible, Can shapeshift into a rat raven or spider",,,,,,,,,,,,,,,,,,,,,
Incarnation of Transience,Lorwyn: First Light,Huge,Fey,Neutral,Planar (Feywild),Planar,Feywild,None,16,142,8,40,,,,,40,5,0,5,2,3,3,5,0,8,2,6,3,,,,,"Grappled, Paralyzed, Petrified, Prone, Restrained",,,60,,,12,"Sylvan, Telepathy",7,"2,900",3,"Ephemeral Movement, Magic Resistance",,3,Melee,8,5,,,14,Piercing,Ranged,8,60/120,60,120,15,Acid,,,,,,,,,,,,,,,16,Dexterity,"Atk 2 on hit speed reduced by 10 ft, Spectral Stampede moves 80ft in a straight line each creature on fail save take 18 force damage on if creatureis a size smalerl is prone half if saved",,,,,,,,,Shape-shift,,,,,,,,,,,,
Incarnation of Vibrance,Lorwyn: First Light,Huge,Fey,Neutral,Planar (Feywild),Planar,Feywild,None,14,230,7,40,,,,,,5,0,3,3,5,5,5,0,3,3,9,9,,,,Radiant,"Blinded, Charmed, Deafened, Frightened",,,60,,,13,"Sylvan, Telepathy",10,"5,900",4,Magic Resistance,,3,Melee,9,20,,,18,Bludgeoning,,,,,,,,,,,,,,,,,,,,,,17,Constitution,"Radiant Blast creature within 20ft on fail save takes 14 radaint half on save,",Charisma,17,Constitution,9,"Daylight, Druidcraft, Plant Growth",,,Blindness/Deafness,"Shape-shift, Teleport",,,,,,,,,,,,
Incubus,2024 Monster Manual,Medium,Fiend,Neutral Evil,"Planar (Lower Planes), Urban","Planar, Urban",Lower Planes,Any,15,66,3,30,,,60,,,-1,2,3,1,1,5,-1,2,3,1,1,5,,"Deception, Insight, Perception, Persuasion, Stealth",,"Cold, Fire, Poison, Psychic",,,,60,,,15,"Abyssal, Common, Infernal, Telepathy",4,"1,100",2,Succubus Form,,2,Melee,7,5,,,15,Psychic,,,,,,,,,,,,,,,,,,,,,,15,Wisdom,Akt 1 On hit the target is cursed and can't get the benefits of a short rest,Charisma,15,Wisdom,7,"Disguise Self, Etherealness",,,"Dream, Hypnotic Pattern",Nightmare reaches on 6 within 60ft on fail if the target has less than 21 hp they are unconscious it not 18 Psychic damage,,,,,,,,,,,,
Intellect Devourer,2024 Monster Manual,Tiny,Aberration,Lawful Evil,Underdark,Underdark,,None,12,28,2,40,,,,,,-2,2,2,0,1,0,-2,2,2,0,1,0,"Perception, Stealth",,,Psychic,,,60,,,,12,"Understands Deep Speech, Telepathy",2,450,2,Detect Intelligence,,2,Melee,4,5,,,7,Slashing,,,,,,,,,,,,,,,,,,,,,,12,Intelligence,"Devour Intellect 11 psychic damage and stunned, Steal Body target with 10 or fewer hp and incapacitated gets taken over",,,,,,,,,,,,,,,,,,,,,
Invisible Stalker,2024 Monster Manual,Large,Elemental,Neutral,Urban,Urban,,None,14,97,7,50,,,50,50,,3,0,4,2,2,0,3,0,4,2,2,0,,"Perception, Stealth",,"Bludgeoning, Piercing, Slashing","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",Poison,,60,,,18,"Common, Primordial (Auran)",6,"2,300",3,"Air Form, Invisibility",,3,Melee,7,5,,,11,Force,,,,,,,,,,,,,,,,,,,,,,14,Constitution,Vortex on fail 7 thunder damage grappled cannot cast spells with verbal component and take 7 thunder damage every round,,,,,,,,,,,,,,,,,,,,,
Iron Golem,2024 Monster Manual,Large,Construct,Unaligned,Any,Any,,Any,20,252,9,30,,,,,,7,-4,-1,0,5,-5,7,-4,-1,0,5,-5,,,,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned","Fire, Poison, Psychic",,120,,,10,"Understands Common, Two other language",16,"15,000",5,"Fire Absorption, Immutable Form, Magic Resistance",,3,Melee,12,10,,,30,"Slashing, Fire",Ranged,10,120,120,,36,Fire,,,,,,,,,,,,,,,18,"Constitution, Dexterity",Poison Breath recharges on 6 on 60ft cone on fail 55 poison,,,,,,,,,,,,,,,,,,,,,
Jackal,2024 Monster Manual,Small,Beast,Unaligned,"Desert, Grassland","Desert, Grassland",,None,12,3,2,40,,,,,,-1,-4,2,1,0,-2,-1,-4,2,1,0,-2,Stealth,Perception,,,,,,90,,,15,None,0,10,2,,,1,Melee,1,5,,,1,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackalwere,2024 Monster Manual,Small,Fiend,Chaotic Evil,"Desert, Grassland","Desert, Grassland",,Implements,12,18,2,40,,,,,,0,1,2,0,1,0,0,1,2,0,1,0,Stealth,"Deception, Perception",,,,,,90,,,14,Common,1/2,100,2,Pack Tactics,,2,Melee,4,5,,,5,Piercing,Melee,4,5,,,4,Bludgeoning,,,,,,,,,,,,,,,10,Wisdom,Sleep Gaze recharges 5-6 within 30ft on fail is unconscious,,,,,,,,,Shape-shift,,,,,,,,,,,,
Jorasco Medic,Eberrron: Forge of the Artificer,Small,Humanoid (Halfling),Neutral,None (NPC),None,NPC,None,16,58,4,30,,,,,,1,2,2,3,3,2,1,2,2,5,5,2,"Insight, Medicine, Perception, Stealth",,,,,,,,,,15,"Common, Halfing",4,"1,100",2,Lucky,,2,Melee,5,5,,,7,Radiant,Ranged,5,30,30,,7,Radiant,,,,,,,,,,,,,,,,,,Wisdom,13,,5,,,"Cure Wounds, Lesser Restoration",,,,,,,,,,,,,,
Juvenile Shadow Dragon,2024 Monster Manual,Medium,Dragon,Chaotic Evil,"Planar (Shadowfell), Underdark","Planar, Underdark",Shadowfell,Any,15,45,4,30,,30,60,,,3,1,2,0,3,2,3,1,4,0,3,2,,"Perception, Stealth",,,,Neurotic,10,60,,,14,"Common, Draconic",4,"1,100",2,"Living Shadow, Sunlight Sensitivity",,2,Melee,5,10,,,10,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,,,,13,Dexterity,Shadow Breath recharges 5-6 30ft coone 17 Necrotic if reduces a humanoid to 0 a shadow rises from its corpse,,,,,,,,,Take the hide action in dim light or darkness,,,,,,,,,,,,
Karas Chembryl, Forgotten Realms: Adventures in Faerûn,Medium,Humanoid (Human),Neutral Evil,None (NPC),None,NPC,None (NPC),17,104,11,30,,30,,,,0,4,5,2,1,3,0,7,8,5,4,3,"Acrobatics, Perception",Stealth,,"Poison, Psychic",,,10,,,,18,"Common, Elvish, Infernal, Thieves' Cant",8,"3,900",3,Evasion,3,2,Melee,8,5,,,14,"Piercing, Necrotic",Ranged,8,5,5,,14,"Piercing, Necrotic",Melee,8,5,,,8,Slashing,,,,,,,,,,On hit of atk 3 frightened and takes extra 10 phy damage if remains frightened,Intelligence,15,"Constitution, Wisdom",7,"Friends, Silence, Thaumaturgy",,Ray of Sickness(Level 5),"Blight, Mislead",Withdraw: move up to 1/2 speed without provoking opportunity attacks and can hide,,3,Wisdom,15,"Harrow: within 90ft and on fail 10 psychic damage and fightened and speed 0, Stealth Attack: extra attack",Yes,"5,000",4,4,,,
Kenku,2024 Monster Manual,Medium,Monstrosity,Neutral,"Forest, Planar (Shadowfell), Urban","Forest, Planar, Urban",Shadowfell,"Implements, Individual",13,13,3,30,,,,,,0,0,3,0,0,0,0,0,3,0,0,0,"Perception, Stealth",Deception,,,,,,60,,,12,"Common, Primordial (Auran)",1/4,50,2,Mimicry,,1,Melee,5,5,,,6,Necrotic,Ranged,5,60,60,,6,Necrotic,,,,,,,,,,,,,,,10,Dexterity,,,,,,,,,,Eldritch Lantern recharges on 4-6 cast Faerie Fire,,,,,,,,,,,,
Killer Whale,2024 Monster Manual,Huge,Beast,Unaligned,Underwater,Underwater,,None,12,90,2,5,,,,,60,4,-4,2,1,1,-2,4,-4,2,1,1,-2,"Perception, Stealth",,,,,,120,,,,13,None,3,700,2,Hold Breath,,1,Melee,6,5,,,21,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight,2024 Monster Manual,Medium or Small,Humanoid,Neutral,Any,Any,,"Armaments, Individual",18,52,0,30,,,,,,3,0,0,0,2,2,3,0,0,2,4,2,,,,,Frightened,,,,,,10,Common one other language,3,700,2,,,2,Melee,5,5,,,14,"Slashing,Radiant",Ranged,5,5,5,,14,"Piercing, Radiant",,,,,,,,,,,,,,,,,,,,,,,,,,,Parry hit by  melee +2 to AC,,,,,,,,,,,
Kobold Warrior,2024 Monster Manual,Small,Dragon,Neutral,"Arctic, Coastal, Desert, Forest, Hill, Mountain, Swamp, Underdark, Urban","Arctic, Coastal, Desert, Forest, Hill, Mountain, Swamp, Underdark, Urban",,Armaments,14,7,2,30,,,,,,-2,-1,2,-2,-1,-1,-2,-1,2,-2,-1,-1,,,,,,,,60,,,8,"Common, Draconic",1/8,25,2,"Pack Tactics, Sunlight Sensitivity",,1,Melee,4,5,,,4,Piercing,Ranged,4,20/60,20,60,4,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korex, Stranger Things: Welcome to the Hellfire Club,Medium,Humanoid (Elf),Chaotic Evil,None,None,,None,13,52,3,40,,,,,,1,-1,3,1,2,2,1,-1,3,1,2,2,"Perception, Performance, Stealth",,,,Poisoned,Poison,,120,,,13,"Common, Elvish",2,450,2,Sewer Speech,,1,Melee,5,5,,,15,"Piercing,Poison",,,,,,,,,,,,,,,,,,,,,,12,Wisdom,"Atk 1 on hit poisoned, Entrancing Pipes one creature on fail 14 psychic damage and charmed",,,,,,,,,Skitter takes the dash or disengage,,,,,,,,,,,,
Kraken,2024 Monster Manual,Gargantuan,Monstrosity (Titan),Chaotic Evil,Underwater,Underwater,,Any,18,481,14,30,,,,,120,10,6,0,4,8,5,17,6,7,11,15,5,,,,,"Frightened, Grappled, Paralyzed, Restrained","Cold, Lightning",,,120,,21,"Understands Abyssal, Celestial, Infernal, Primordial, Telepathy",23,"50,000",7,"Amphibious, Siege Monster",4,3,Melee,17,30,,,24,,,,,,,,,,,,,,,,,,,,,,,25,Dexterity,"Fling throws grappled target 60ft on fail the thrown target and each creature in the throne space 18 bludgeoning, Lightning Strike within 120ft on fail 33 lightning damage, Swallow a grappled target on fail 23 piercing damage not grappled but restrained  total cover and 24 Acid damage on every round",,,,,,,,,,,3,23,Constitution,"Storm Bolt: lightning strike, Toxic Ink: within 15ft on fail blinded and poisoned and move up to half its speed",Yes,"62,000",5,4,,,"Ocean Tyrant every creature in 1 mile is charmed, Sea and Storm cast Control Weather"
Kundarak Warden,Eberrron: Forge of the Artificer,Medium,Humanoid (Dwarf),Neutral,None (NPC),None,NPC,None,14,82,1,30,,,,,,2,3,1,1,3,0,2,3,1,1,6,0,,,,,,,,120,,,11,"Common, Dwarvish",5,"1,800",3,Magic Resistance,,2,Melee,6,10,,,13,Force,,,,,,,,,,,,,,,,,,,,,,14,Strength,"Atk 1 on hit target is prone and if already prone deals an extra 7 force, Shackling Glyph on fail target is grappled and restrained",Intelligence,14,,6,"Alarm, Arcance Lock, Mage Armor",Counterspell or shield,,Dispel Magic,,Protective Magic cast counterspell or shield,,,,,,,,,,,
Kuo-toa,2024 Monster Manual,Medium,Aberration,Neutral Evil,"Coastal, Underdark","Coastal, Underdark",,Relics,13,18,0,30,,,,,30,1,0,0,0,0,-1,1,0,0,0,0,-1,,Perception,,,,,,120,30,,14,Undercommon,1/4,50,2,"Amphibious, Sunlight Sensitivity",,1,Melee,3,5,,,5,Piercing,Ranged,3,20/60,20,60,5,Piercing,,,,,,,,,,,,,,,10,"Dexterity, Strength",Sticky Net 15ft range restrained on fail saved,,,,,,,,,,Grappled Condition on missed Akt and failed save DC 11,,,,,,,,,,,
Kuo-toa Archpriest,2024 Monster Manual,Medium,Aberration,Neutral Evil,"Coastal, Underdark","Coastal, Underdark",,Relics,13,105,2,30,,,,,30,3,1,2,3,3,2,3,1,2,3,3,2,Religion,Perception,,,,,,120,30,,19,Undercommon,6,"2,300",3,"Amphibious, Sunlight Sensitivity",,3,Melee,6,5,,,20,Lighting,Ranged,6,120,120,,20,Lightning,,,,,,,,,,,,,,,,,,Wisdom,14,"Constitution, Wisdom",6,"Detect Magic, Thaumaturgy",,Shield of Faith,"Destructive Wave, Divination, Hold Monster (level 6), Scrying, Tongues",Cast Shield of Faith,,,,,,,,,,,,
Kuo-toa Monitor,2024 Monster Manual,Medium,Aberration,Neutral Evil,"Coastal, Underdark","Coastal, Underdark",,Relics,13,65,0,30,,,,,30,3,1,0,2,2,0,0,1,0,2,2,0,Religion,Perception,,,,,,120,30,,16,Undercommon,3,700,2,"Amphibious, Sunlight Sensitivity",,2,Melee,5,10,,,13,"Slashing, Lighting",,,,,,,,,,,,,,,,,,,,,,,,Akt 1 on a hit the target can't make opportunity attacks,,,,,,,,,,,,,,,,,,,,,
Kuo-toa Whip,2024 Monster Manual,Medium,Aberration,Neutral Evil,"Coastal, Underdark","Coastal, Underdark",,Relics,11,45,0,30,,,,,30,2,1,0,2,2,0,2,1,0,2,2,0,Religion,Perception,,,,,,120,30,,16,Undercommon,1,200,2,"Amphibious, Sunlight Sensitivity",,1,Melee,4,10,,,9,Piercing,Ranged,4,60,60,,9,Acid,,,,,,,,,,,,,,,,,Akt 1 on a hit target is grappled,Wisdom,,,,,,Shield of Faith,,Cast Shield of Faith,,,,,,,,,,,,
Lacedon Ghoul,2024 Monster Manual,Medium,Undead,Chaotic Evil,"Swamp, Underdark, Urban","Swamp, Underdark, Urban",,Any,12,22,2,30,,,,,30,1,-2,2,0,0,-2,1,-2,2,0,0,-2,,,,Cold,"Charmed, Exhaustion, Poisoned",Poison,,60,,,10,Common,1,200,2,,,2,Melee,4,5,,,9,Cold,Melee,4,5,,,4,Slashing,,,,,,,,,,,,,,,10,Constitution,"Akt 1 on hit speed decrease by 5, Akt 2 on hit and fail and paralyzed",,,,,,,,,Watery Rush while underwater move 1/2 without opportunity,,,,,,,,,,,,
Lamia,2024 Monster Manual,Large,Fiend,Chaotic Evil,Desert,Desert,,Arcana,13,97,1,40,,,,,,3,2,1,2,2,3,3,2,1,2,2,3,Insight,"Deception, Stealth",,,,,,60,,,12,"Abyssal, Common",4,"1,100",2,,,2,Melee,5,5,,,14,"Slashing, Psychic",,,,,,,,,,,,,,,,,,,,,,13,Wisdom,Within 5ft on fail 13 psychic damage and cursed charmed and poisoned,Charisma,13,Wisdom,5,"Disguise Self, Minor Illusion",,,"Geas, Major Image, Scrying",Jump 30ft spending 10ft movement,,,,,,,,,,,,
